# 过滤后保留的可回测指数（共 727 个：行业 212 + 主题 515）
# 过滤规则: 6条(见 spec §2.2)，规则3含 name 币种过滤
# 格式: ts_code | name | category | list_date

    H30140.CSI  |  城镇交通  |  主题指数  |  20130826
    H30142.CSI  |  城镇消费  |  主题指数  |  20130826
    931032.CSI  |  复兴100  |  主题指数  |  20171106
    000979.CSI  |  大宗商品  |  主题指数  |  20110822
    931022.CSI  |  大气治理  |  主题指数  |  20171017
    931000.CSI  |  大湾区  |  主题指数  |  20170719
    931349.CSI  |  大湾区先进制造  |  主题指数  |  20191018
    931351.CSI  |  大湾区消费升级  |  主题指数  |  20191018
    931347.CSI  |  大湾区科技领先  |  主题指数  |  20191018
    931452.CSI  |  大湾区质量成长均衡  |  主题指数  |  20200313
    931341.CSI  |  大湾区高质发展  |  主题指数  |  20191018
    000927.CSI  |  央企100  |  主题指数  |  20090330
    931825.CSI  |  央企50  |  主题指数  |  20231109
    931242.CSI  |  央企ESG50  |  主题指数  |  20230504
    000861.CSI  |  央企创新  |  主题指数  |  20190516
    931245.CSI  |  央企基建  |  主题指数  |  20230504
    931522.CSI  |  央企新动能  |  主题指数  |  20200701
    931837.CSI  |  央企现代产业  |  主题指数  |  20231018
    932037.CSI  |  央企现代能源  |  主题指数  |  20221116
    932052.CSI  |  央企科技创新  |  主题指数  |  20231010
    932038.CSI  |  央企科技引领  |  主题指数  |  20221116
    931254.CSI  |  央企高装  |  主题指数  |  20230504
    931004.CSI  |  女性消费  |  主题指数  |  20170721
    931717.CSI  |  宁波制造  |  主题指数  |  20211125
    931666.CSI  |  宁波综指  |  主题指数  |  20211125
    930987.CSI  |  安徽发展  |  主题指数  |  20190320
    CU0011.CSI  |  安硕300基建  |  主题指数  |  20131010
    CU0010.CSI  |  安硕300金融地产  |  主题指数  |  20131010
    931241.CSI  |  家居家电  |  主题指数  |  20230323
    931021.CSI  |  家电龙头  |  主题指数  |  20171017
    931811.CSI  |  小家电主题  |  主题指数  |  20220120
    H00901.CSI  |  小康收益  |  主题指数  |  20100402
    931495.CSI  |  工业互联  |  主题指数  |  20200708
    H11059.CSI  |  工业有色  |  主题指数  |  20090722
    932256.CSI  |  工业金属50  |  主题指数  |  20240112
    931752.CSI  |  工程机械主题  |  主题指数  |  20210927
    932062.CSI  |  市场龙头50  |  主题指数  |  20240116
    932384.CSI  |  常州新能源  |  主题指数  |  20241224
    931009.CSI  |  建筑材料  |  主题指数  |  20130715
    932046.CSI  |  建行科技(长三角)  |  主题指数  |  20240508
    931695.CSI  |  成渝经济圈  |  主题指数  |  20210429
    932306.CSI  |  战略新兴100  |  主题指数  |  20240628
    931268.CSI  |  持续发展  |  主题指数  |  20191115
    931582.CSI  |  数字经济  |  主题指数  |  20201109
    932028.CSI  |  数据要素  |  主题指数  |  20230830
    H30365.CSI  |  文娱传媒  |  主题指数  |  20140721
    932661.CSI  |  新兴60  |  主题指数  |  20260320
    000171.CSI  |  新兴成指  |  主题指数  |  20170125
    000976.CSI  |  新华金牛  |  主题指数  |  20140218
    932677.CSI  |  新型电力系统  |  主题指数  |  20260518
    932678.CSI  |  新型电力系统100  |  主题指数  |  20260630
    H30143.CSI  |  新基建  |  主题指数  |  20130826
    000943.CSI  |  新基建50  |  主题指数  |  20091028
    H30597.CSI  |  新材料  |  主题指数  |  20150213
    931761.CSI  |  新生消费  |  主题指数  |  20170721
    000941.CSI  |  新能源  |  主题指数  |  20091028
    930997.CSI  |  新能源车  |  主题指数  |  20170719
    931671.CSI  |  新能源车优势30  |  主题指数  |  20210429
    931996.CSI  |  新能源金属  |  主题指数  |  20221114
    931922.CSI  |  新能源金属50  |  主题指数  |  20220901
    931555.CSI  |  新能电池  |  主题指数  |  20150611
    931792.CSI  |  新能车15  |  主题指数  |  20211213
    931450.CSI  |  新能车主题  |  主题指数  |  20240826
    931558.CSI  |  无锡指数  |  主题指数  |  20200827
    H30138.CSI  |  智慧城镇  |  主题指数  |  20130826
    H30141.CSI  |  智能交通  |  主题指数  |  20130826
    930850.CSI  |  智能制造  |  主题指数  |  20160720
    H11052.CSI  |  智能电车  |  主题指数  |  20090722
    000983.CSI  |  智能资产  |  主题指数  |  20110617
    931783.CSI  |  智能驾驶  |  主题指数  |  20220221
    931382.CSI  |  智选300ESG领先  |  主题指数  |  20191125
    932386.CSI  |  智选数字经济创新  |  主题指数  |  20241122
    932458.CSI  |  智选杭州创新50  |  主题指数  |  20250923
    932611.CSI  |  智选电网主题  |  主题指数  |  20251230
    950103.CSI  |  智选科创半导体  |  主题指数  |  20240516
    932042.CSI  |  智选航空科技  |  主题指数  |  20231018
    932420.CSI  |  智选船舶产业  |  主题指数  |  20250528
    932156.CSI  |  智选银行AW  |  主题指数  |  20251017
    931892.CSI  |  有色矿业  |  主题指数  |  20130715
    H30590.CSI  |  机器人  |  主题指数  |  20150210
    931753.CSI  |  机械优势30  |  主题指数  |  20121221
    931033.CSI  |  杭州湾区  |  主题指数  |  20171108
