# 被过滤掉的主题/行业指数变体（共 2689 个）
# 全收益/币种/规模口径/企业属性/港股/三板/策略变体，回测会污染对比

931727HKD01.CSI  |  SHS食品(全)HKD  |  主题指数
931727HKD00.CSI  |  SHS食品HKD  |  主题指数
    931444.CSI  |  SHS高股息100  |  主题指数
    921444.CSI  |  SHS高股息100(全)  |  主题指数
    921445.CSI  |  SHS高股息100(全)HKD  |  主题指数
    931445.CSI  |  SHS高股息100HKD  |  主题指数
931801CNY01.CSI  |  SSH体育(全)  |  主题指数
931801HKD01.CSI  |  SSH体育(全)HKD  |  主题指数
931801HKD00.CSI  |  SSH体育HKD  |  主题指数
932224CNY210.CSI  |  SSH新能车50(全)  |  主题指数
932224HKD210.CSI  |  SSH新能车50(全)HKD  |  主题指数
932224HKD200.CSI  |  SSH新能车50HKD  |  主题指数
932215CNY210.CSI  |  SSH新能车主题(全)  |  主题指数
932215HKD210.CSI  |  SSH新能车主题(全)HKD  |  主题指数
932215HKD200.CSI  |  SSH新能车主题HKD  |  主题指数
931781HKD01.CSI  |  SSH智能汽车(全)HKD  |  主题指数
931781HKD00.CSI  |  SSH智能汽车HKD  |  主题指数
931784CNY01.CSI  |  SSH智能驾驶(全)  |  主题指数
931784HKD01.CSI  |  SSH智能驾驶(全)HKD  |  主题指数
931784HKD00.CSI  |  SSH智能驾驶HKD  |  主题指数
932425HKD210.CSI  |  SSH汽车(全)  |  主题指数
932425CNY210.CSI  |  SSH汽车(全)CNY  |  主题指数
932425CNY200.CSI  |  SSH汽车CNY  |  主题指数
932425CNY100.CSI  |  SSH汽车人民币中间价  |  主题指数
932425CNY110.CSI  |  SSH汽车人民币中间价(全)  |  主题指数
932071HKD210.CSI  |  SSH煤炭(全)  |  主题指数
932071CNY210.CSI  |  SSH煤炭(全)CNY  |  主题指数
932071CNY200.CSI  |  SSH煤炭CNY  |  主题指数
932071CNY100.CSI  |  SSH煤炭人民币中间价  |  主题指数
932071CNY110.CSI  |  SSH煤炭人民币中间价(全)  |  主题指数
932358HKD210.CSI  |  SSH芯片产业(全)  |  主题指数
932358CNY210.CSI  |  SSH芯片产业(全)CNY  |  主题指数
932358CNY200.CSI  |  SSH芯片产业CNY  |  主题指数
932358CNY100.CSI  |  SSH芯片产业人民币中间价  |  主题指数
932358CNY110.CSI  |  SSH芯片产业人民币中间价(全)  |  主题指数
931257CNY210.CSI  |  SSH贵金属(全)  |  主题指数
931257HKD210.CSI  |  SSH贵金属(全)HKD  |  主题指数
931257USD210.CSI  |  SSH贵金属(全)USD  |  主题指数
931257HKD200.CSI  |  SSH贵金属HKD  |  主题指数
931257USD200.CSI  |  SSH贵金属USD  |  主题指数
932026CNY01.CSI  |  SSH高端造(全)  |  主题指数
932026HKD01.CSI  |  SSH高端造(全)HKD  |  主题指数
932026HKD00.CSI  |  SSH高端造HKD  |  主题指数
931867CNY01.CSI  |  SSH高装(全)  |  主题指数
931867HKD01.CSI  |  SSH高装(全)HKD  |  主题指数
931867HKD00.CSI  |  SSH高装HKD  |  主题指数
931238CNY210.CSI  |  SSH黄金股票(全)  |  主题指数
931238HKD210.CSI  |  SSH黄金股票(全)HKD  |  主题指数
931238USD210.CSI  |  SSH黄金股票(全)USD  |  主题指数
931238HKD200.CSI  |  SSH黄金股票HKD  |  主题指数
931238USD200.CSI  |  SSH黄金股票USD  |  主题指数
931238CNY100.CSI  |  SSH黄金股票人民币中间价  |  主题指数
931238CNY110.CSI  |  SSH黄金股票人民币中间价(全)  |  主题指数
    H20593.CSI  |  一带一路全收益  |  主题指数
    899302.CSI  |  三板制造  |  主题指数
    899304.CSI  |  三板医药  |  主题指数
    899303.CSI  |  三板服务  |  主题指数
    899307.CSI  |  三板活跃  |  主题指数
    899305.CSI  |  三板消费  |  主题指数
    899306.CSI  |  三板研发  |  主题指数
    899301.CSI  |  三板龙头  |  主题指数
    H40052.CSI  |  上国改革全收益  |  主题指数
    H00049.CSI  |  上民企收  |  主题指数
    950096.CSI  |  上海国企  |  主题指数
    H40096.CSI  |  上海国企全收益  |  主题指数
    H40082.CSI  |  上海改革全收益  |  主题指数
932440CNY010.CSI  |  上海现代产业全收益  |  主题指数
932157CNY010.CSI  |  上海科技领先全收益  |  主题指数
    H40039.CSI  |  上证TMT全收益  |  主题指数
    H00094.CSI  |  上证上游全收益  |  主题指数
    H00096.CSI  |  上证下游全收益  |  主题指数
    H00095.CSI  |  上证中游全收益  |  主题指数
    H40054.CSI  |  上证休闲全收益  |  主题指数
    H40044.CSI  |  上证健康全收益  |  主题指数
950238CNY01.CSI  |  上证光伏全收益  |  主题指数
    H40043.CSI  |  上证养老全收益  |  主题指数
    H40036.CSI  |  上证军工全收益  |  主题指数
    H00122.CSI  |  上证农业全收益  |  主题指数
    H40106.CSI  |  上证创新全收益  |  主题指数
